name,qn_or_ans,y_top,y_bottom,confident,recognition_result
question_2_70_183.jpg,qn,70,183,0.0,
question_3_183_295.jpg,qn,183,295,0.9316820064485287,2l
question_4_295_407.jpg,qn,295,407,0.27462710196456047,out
question_5_407_520.jpg,qn,407,520,0.9999994039536411,2
question_6_520_633.jpg,qn,520,633,0.9997001804857355,2d
question_7_633_746.jpg,qn,633,746,0.13471082607288895,out
question_8_746_860.jpg,qn,746,860,0.9999917745759355,3
question_9_860_975.jpg,qn,860,975,0.9999945163801982,4
question_10_975_1090.jpg,qn,975,1090,0.9999997615814351,5
question_11_1090_1341.jpg,qn,1090,1341,0.15776596263366816,out
question_12_1341_1447.jpg,qn,1341,1447,0.37642426007834723,out
question_13_1447_1551.jpg,qn,1447,1551,0.9999862909786863,7
question_14_1551_1656.jpg,qn,1551,1656,0.9855222579411677,8l
question_15_1656_1761.jpg,qn,1656,1761,0.6203319942292982,out
question_16_1761_1868.jpg,qn,1761,1868,0.21197235463027134,out
question_17_1868_1975.jpg,qn,1868,1975,0.9649008927521792,10
question_18_1975_2080.jpg,qn,1975,2080,0.999988794358174,1
question_19_2080_2184.jpg,qn,2080,2184,0.9600663106030198,12
question_20_2184_2287.jpg,qn,2184,2287,0.8744971365563903,13
question_21_2287_2388.jpg,qn,2287,2388,0.9974783590424864,14
